Orthogroup species refseq ensembl_gene_id go_id
58 OG0000819 TaeGut_protein XP_002197848 ENSTGUG00000001436 GO:0007268
59 OG0000819 TaeGut_protein XP_002197848 ENSTGUG00000001436 GO:0004993
60 OG0000819 TaeGut_protein XP_002197848 ENSTGUG00000001436 GO:0098664
61 OG0000819 TaeGut_protein XP_002197848 ENSTGUG00000001436 GO:0005887
62 OG0000819 TaeGut_protein XP_002197848 ENSTGUG00000001436 GO:0051378
63 OG0000819 TaeGut_protein XP_002197848 ENSTGUG00000001436 GO:0006939
64 OG0000819 TaeGut_protein XP_002197848 ENSTGUG00000001436 GO:0009636
65 OG0000819 TaeGut_protein XP_002197848 ENSTGUG00000001436 GO:0040012
66 OG0000819 TaeGut_protein XP_002197848 ENSTGUG00000001436 GO:0042310
67 OG0000819 TaeGut_protein XP_002197848 ENSTGUG00000001436 GO:0050795
68 OG0000059 Ficedula_albicolis_protein XP_005049431 ENSFALG00000000970 GO:0004672
69 OG0000059 Ficedula_albicolis_protein XP_005049431 ENSFALG00000000970 GO:0006468
70 OG0000059 Ficedula_albicolis_protein XP_005049431 ENSFALG00000000970 GO:0005524
71 OG0000059 Ficedula_albicolis_protein XP_005049431 ENSFALG00000000970 GO:0003774
72 OG0000059 Ficedula_albicolis_protein XP_005049431 ENSFALG00000000970 GO:0016459
73 OG0000436 Parus_major_protein XP_015476164 ENSPMJG00000008547 GO:0006887
74 OG0000436 Parus_major_protein XP_015476164 ENSPMJG00000008547 GO:0006886
75 OG0000436 Parus_major_protein XP_015476164 ENSPMJG00000008547 GO:0005515
76 OG0000436 Parus_major_protein XP_015476164 ENSPMJG00000008547 GO:0016020
77 OG0000436 Parus_major_protein XP_015476164 ENSPMJG00000008547 GO:0031267
78 OG0000798 Ficedula_albicolis_protein XP_005043229 ENSFALG00000013003 GO:0005975
79 OG0000798 Ficedula_albicolis_protein XP_005043229 ENSFALG00000013003 GO:0003824
80 OG0000798 Ficedula_albicolis_protein XP_005043229 ENSFALG00000013003 GO:0016020
81 OG0000798 Ficedula_albicolis_protein XP_005043229 ENSFALG00000013003 GO:0016021
